link,name,ingredients,eng_ingredients
https://www.kwestiasmaku.com//przepis/zupa-z-jarmuzem-ziemniakami-i-wiejska-kielbasa,"Zupa z jarmużem, ziemniakami i wiejską kiełbasą",200 g wiejskiej kiełbasy,200 g of rural sausage
https://www.kwestiasmaku.com//przepis/zupa-z-jarmuzem-ziemniakami-i-wiejska-kielbasa,"Zupa z jarmużem, ziemniakami i wiejską kiełbasą",2 łyżka oleju roślinnego,2 tablespoons vegetable oil
https://www.kwestiasmaku.com//przepis/zupa-z-jarmuzem-ziemniakami-i-wiejska-kielbasa,"Zupa z jarmużem, ziemniakami i wiejską kiełbasą",1/2 cebuli,1/2 onions
https://www.kwestiasmaku.com//przepis/zupa-z-jarmuzem-ziemniakami-i-wiejska-kielbasa,"Zupa z jarmużem, ziemniakami i wiejską kiełbasą",1 marchewka,1 carrot
https://www.kwestiasmaku.com//przepis/zupa-z-jarmuzem-ziemniakami-i-wiejska-kielbasa,"Zupa z jarmużem, ziemniakami i wiejską kiełbasą",2 łodygi selera naciowego,2 celery stalks
https://www.kwestiasmaku.com//przepis/zupa-z-jarmuzem-ziemniakami-i-wiejska-kielbasa,"Zupa z jarmużem, ziemniakami i wiejską kiełbasą","1,5 litra bulionu",1.5 liters of broth
https://www.kwestiasmaku.com//przepis/zupa-z-jarmuzem-ziemniakami-i-wiejska-kielbasa,"Zupa z jarmużem, ziemniakami i wiejską kiełbasą",1 łyżeczka papryki,1 teaspoon of peppers
https://www.kwestiasmaku.com//przepis/zupa-z-jarmuzem-ziemniakami-i-wiejska-kielbasa,"Zupa z jarmużem, ziemniakami i wiejską kiełbasą",4 nieduże ziemniaki,4 small potatoes
https://www.kwestiasmaku.com//przepis/zupa-z-jarmuzem-ziemniakami-i-wiejska-kielbasa,"Zupa z jarmużem, ziemniakami i wiejską kiełbasą",2 liście jarmużu,2 kale leaves
https://www.kwestiasmaku.com//przepis/zupa-z-jarmuzem-ziemniakami-i-wiejska-kielbasa,"Zupa z jarmużem, ziemniakami i wiejską kiełbasą",szczypiorek,chives
https://www.kwestiasmaku.com//przepis/komosanka,Komosanka,1 szklanka komosy ryżowej (quinoa),1 glass of quinoa
https://www.kwestiasmaku.com//przepis/komosanka,Komosanka,1 łyżka nasion chia lub siemienia lnianego (opcjonalnie),1 spoon of chia seed or linseed seed (optional)
https://www.kwestiasmaku.com//przepis/komosanka,Komosanka,2 szklanki mleka roślinnego,2 glasses of vegetable milk
https://www.kwestiasmaku.com//przepis/komosanka,Komosanka,"2 łyżki cukru kokosowego lub syropu klonowego, miodu","2 tablespoons coconut sugar or maple syrup, honey"
https://www.kwestiasmaku.com//przepis/komosanka,Komosanka,owoce sezonowe,seasonal fruit
https://www.kwestiasmaku.com//przepis/komosanka,Komosanka,"orzechy, pestki dyni","nuts, pumpkin seeds"
https://www.kwestiasmaku.com//przepis/komosanka,Komosanka,jogurt naturalny,natural yogurt
https://www.kwestiasmaku.com//przepis/ravioli-w-sosie-pomidorowym,Ravioli w sosie pomidorowym,3 łyżki oliwy extra,3 tablespoons extra oil
https://www.kwestiasmaku.com//przepis/ravioli-w-sosie-pomidorowym,Ravioli w sosie pomidorowym,2 ząbki czosnku,2 garlic teeth
